block,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Metered_mw,Vedanjay_Schedule,Maximum tolerable schedule,Minimum tolerable schedule
37,2.37,2.337,2.337,2.521,2.1865,,2.6965000000000003,1.6765
38,2.63,2.592,2.592,2.796,2.419368666666667,,2.929368666666667,1.9093686666666672
39,2.86,2.817,2.817,3.039,2.627987333333333,,3.1379873333333332,2.1179873333333328
40,3.08,3.033,3.033,3.271,2.836082,,3.346082,2.3260820000000004
41,3.27,3.219,3.219,3.472,3.019526,,3.5295259999999997,2.509526
42,3.42,3.366,3.366,3.671,3.1894526666666665,,3.6994526666666667,2.6794526666666663
43,3.56,3.503,3.503,3.82,3.3337060000000003,,3.843706,2.8237060000000005
44,3.68,3.621,3.621,3.948,3.4758679999999997,,3.985868,2.9658679999999995
45,3.79,3.728,3.728,4.066,3.5524593333333327,,4.062459333333333,3.0424593333333325
46,3.88,3.817,3.817,4.162,3.667451333333333,,4.177451333333333,3.1574513333333334
47,3.95,3.885,3.885,4.237,3.750219333333333,,4.260219333333333,3.240219333333333
48,4.01,3.944,3.944,4.294,3.5919906666666668,,4.101990666666667,3.081990666666667
49,4.05,3.983,3.983,4.212,3.623535333333333,,4.133535333333333,3.113535333333333
50,4.07,4.003,4.003,4.221,3.873072,,4.383072,3.363072
51,4.04,3.973,3.973,4.088,3.763718666666667,,4.273718666666667,3.253718666666667
52,4.01,3.944,3.944,3.944,3.8024760000000013,,4.312476000000001,3.2924760000000015
53,3.93,3.866,3.866,3.866,3.50944,,4.01944,2.99944
54,3.85,3.787,3.787,3.673,3.3345726666666664,,3.844572666666666,2.8245726666666666
55,3.77,3.709,3.709,3.485,3.6311346666666657,,4.141134666666666,3.1211346666666655
56,3.67,3.611,3.611,3.393,3.00367,,3.5136700000000003,2.49367
57,3.56,3.503,3.503,3.186,3.1957746666666664,,3.7057746666666667,2.685774666666666
58,3.43,3.376,3.376,3.079,3.237628666666667,,3.7476286666666674,2.727628666666667
59,3.26,3.209,3.209,2.927,3.1103453333333326,,3.620345333333333,2.6003453333333324
60,3.08,3.033,3.033,2.766,3.3314760000000003,,3.841476,2.8214760000000005
61,2.89,2.846,2.846,2.596,3.074326,,3.584326,2.5643260000000003
62,2.69,2.65,2.65,2.418,2.5865880000000008,,3.0965880000000006,2.076588000000001
63,2.47,2.435,2.435,2.249,2.591987333333333,,3.1019873333333328,2.081987333333333
64,2.25,2.219,2.219,2.05,2.410256,,2.920256,1.900256
65,2.02,1.994,1.994,1.841,2.1185893333333334,,2.6285893333333332,1.6085893333333334
66,1.77,1.749,1.749,1.615,1.1903586666666668,,1.7003586666666668,0.6803586666666668
67,1.55,1.533,1.533,1.416,0.7718406666666666,,1.2818406666666666,0.2618406666666666
68,1.34,1.327,1.327,1.256,0.8646726666666668,,1.3746726666666667,0.35467266666666675
69,1.12,1.112,1.112,1.052,0.7123086666666667,,1.2223086666666667,0.2023086666666667
70,0.9,0.896,0.896,0.848,0.4673733333333333,,0.9773733333333333,-0.0426266666666667
71,0.54,0.543,0.543,0.514,0.33271800000000007,,0.8427180000000001,-0.17728199999999994
72,0.36,0.312,0.312,0.289,0.5675953333333333,,1.0775953333333335,0.05759533333333333
73,0.21,0.187,0.187,0.173,0.32900266666666667,,0.8390026666666667,-0.18099733333333334
74,0.08,0.079,0.079,0.073,0.15371200000000002,,0.6637120000000001,-0.356288
75,0.0,0.014,0.014,0.0,0.06552,,0.57552,-0.44448
76,0.0,0.014,0.014,0.0,,,,
77,0.0,0.014,0.014,0.0,0.0548,,0.5648,-0.4552
78,0.0,0.014,0.014,0.0,-0.001274,,0.508726,-0.511274
79,0.0,0.014,0.014,0.0,-0.0052699999999999995,,0.50473,-0.51527
80,0.0,0.014,0.014,0.0,,,,
81,0.0,0.014,0.014,0.0,,,,
82,0.0,0.014,0.014,0.0,,,,
83,0.0,0.014,0.014,0.0,,,,
84,0.0,0.014,0.014,0.0,,,,
85,0.0,0.014,0.014,0.0,,,,
86,0.0,0.014,0.014,0.0,,,,
87,0.0,0.014,0.014,0.0,,,,
88,0.0,0.014,0.014,0.0,,,,
89,0.0,0.014,0.014,0.0,,,,
90,0.0,0.014,0.014,0.0,,,,
91,0.0,0.014,0.014,0.0,,,,
92,0.0,0.014,0.014,0.0,,,,
93,0.0,0.014,0.014,0.0,,,,
94,0.0,0.014,0.014,0.0,-0.005350000000000001,,0.50465,-0.51535
95,0.0,0.014,0.014,0.0,-0.005301,,0.504699,-0.515301
96,0.0,0.014,0.014,0.0,,,,
