block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
83,2026-03-13 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
84,2026-03-13 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
85,2026-03-13 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
86,2026-03-13 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
87,2026-03-13 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
88,2026-03-13 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
89,2026-03-13 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
90,2026-03-13 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
91,2026-03-13 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
92,2026-03-13 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
93,2026-03-13 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
94,2026-03-13 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
95,2026-03-13 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
96,2026-03-13 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
